"Doimiy aholi soni-Jami/Численность постоянного населения-Всего/Permanent population-Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(yil boshiga; ming kishi)/(на начало года; тысяч человек)/(at the beginning of the year, thousand people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hududlar,Ҳудудлар,Регионы,Regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
"O`zbekiston Respublikasi","Ўзбекистон Республикаси","Республика Узбекистан","Republic of Uzbekistan",24487.7,24813.1,25115.8,25427.9,25707.4,26021.3,26312.7,26663.8,27072.2,27533.4,28001.4,29123.4,29555.4,29993.5,30492.8,31022.5,31575.3,32120.5,32656.7,33255.5,33905.2,34558.9,35271.3,36024.9,
"Qoraqalpog`iston Respublikasi","Қорақалпоғистон Республикаси","Республика Каракалпакстан","Republic of Karakalpakstan",1503,1527,1540.1,1551.6,1560.3,1569.9,1571.9,1582.7,1595.4,1615.7,1632,1680.9,1692.8,1711.8,1736.5,1763.1,1791.1,1817.5,1842.3,1869.8,1898.3,1923.7,1948.5,1976.2,
Andijon,Андижон,Андижанская,Andijan,2186.2,2216.5,2247.4,2279.7,2309.1,2342.7,2375.9,2409.8,2451.2,2499.9,2549.1,2672.3,2714.2,2756.4,2805.5,2857.3,2910.5,2962.5,3011.7,3066.9,3127.7,3188.1,3253.5,3322.7,
Buxoro,Бухоро,Бухарская,Bukhara,1419.3,1437.7,1456.1,1473.9,1490.1,1507.6,1525.9,1545.1,1566.1,1588.8,1612.5,1683.8,1707.4,1729.7,1756.4,1785.4,1815.2,1843.5,1870.2,1894.8,1923.9,1947.1,1976.8,2009.7,
Jizzax,Жиззах,Джизакская,Jizzakh,974.8,991.5,1005.7,1019.5,1030.7,1043.3,1051.4,1064.7,1079.5,1098.3,1116.8,1166.7,1186.6,1205,1226.8,1250.1,1276.1,1301,1325,1352.4,1382.1,1410.5,1443.4,1475.5,
Qashqadaryo,Қашқадарё,Кашкадарьинская,Kashkadarya,2166.8,2212.5,2253.7,2294.7,2336.4,2378.5,2420.4,2462.2,2509.4,2563.6,2616.1,2722.9,2777.8,2831.3,2895.3,2958.9,3025.6,3088.8,3148.4,3213.1,3280.4,3335.4,3408.3,3482.3,
Navoiy,Навоий,Навоийская,Navoi,783.3,791.1,795.8,799.7,804.2,810.2,812.7,819.5,829,839.3,851.6,873,881.2,888.4,901.1,913.2,927.9,942.8,958,979.5,997.1,1013.6,1033.9,1055.5,
Namangan,Наманган,Наманганская,Namangan,1924.3,1953.2,1982.7,2013.7,2042.5,2073.2,2103.6,2134.5,2174.3,2217.2,2258.5,2379.5,2420.6,2458.7,2504.1,2554.2,2603.4,2652.4,2699.6,2752.9,2810.8,2867.5,2931.1,2997.5,
Samarqand,Самарқанд,Самаркандская,Samarkand,2670.3,2710,2749.8,2789.1,2826.1,2867.1,2907.5,2955.5,3003.4,3061.6,3119,3270.8,3326.2,3380.9,3445.6,3514.8,3583.9,3651.7,3720.1,3798.9,3877.4,3947.7,4031.3,4118.2,
Surxondaryo,Сурхондарё,Сурхандарьинская,Surkhandarya,1736.7,1770.4,1801,1834.3,1864.2,1894.9,1925.1,1957.8,1992.1,2033.8,2075,2175.1,2218.9,2260.6,2308.3,2358.3,2411.5,2462.3,2514.2,2569.9,2629.1,2680.8,2743.2,2806.5,
Sirdaryo,Сирдарё,Сырдарьинская,Syrdarya,642.2,649.9,657.2,664.1,668.5,672.2,676.9,684.3,693,703.4,714.4,727.2,739.5,750.6,763.8,777.1,790.6,803.1,815.9,829.9,846.3,860.9,878.6,896.6,
Toshkent,Тошкент,Ташкентская,Tashkent,2350.2,2370.2,2390.6,2411.8,2430.4,2452.3,2468,2492.5,2522.4,2552.6,2585.9,2644.4,2671,2695.7,2725.9,2758.3,2794.1,2829.3,2861.2,2898.5,2941.9,2975.9,2939.7,2993.4,
Farg`ona,Фарғона,Ферганская,Fergana,2664.4,2697.5,2729.8,2765.7,2799.2,2840.9,2878.9,2920.3,2972.2,3022.1,3074.6,3229.2,3280.8,3329.7,3386.5,3444.9,3505.3,3564.8,3620.2,3683.3,3752,3820,3896.4,3976.3,
Xorazm,Хоразм,Хорезмская,Khorezm,1323.9,1347.7,1369.3,1390.9,1410.3,1432.8,1453.9,1477.8,1504.2,1530.8,1561.6,1601.1,1629.1,1653.8,1684.1,1715.6,1746.9,1776.7,1805,1835.7,1866.5,1893.3,1924.2,1958.1,
"Toshkent sh.","Тошкент ш.",г.Ташкент,г.Ташкент,2142.3,2137.9,2136.6,2139.2,2135.4,2135.7,2140.6,2157.1,2180,2206.3,2234.3,2296.5,2309.3,2340.9,2352.9,2371.3,2393.2,2424.1,2464.9,2509.9,2571.7,2694.4,2862.4,2956.4,
