"Iqtisodiy faoliyat turi bo’yicha “Axborot va aloqa” sohasida faoliyat ko’rsatayotgan korxona va tashkilotlar soni/
Количество действующих предприятий и организаций по виду экономической деятельности “Информация и связь”/
Number of active organizations by types of economic activity ""Information and Communication""",,,,,,,,,,,
"(1-yanvar holatiga ko'ra, birlikda/на 1 января, единиц/as of January 1, units)",,,,,,,,,,,
,,,,,,,,,,,
Tarmoqlar,Тармоқлар,Отрасли,Industries,2016,2017,2018,2019,2020,2021,2022,2023
"Axborot va aloqa  - jami","Ахборот ва алоқа  - жами","Информация и связь - всего","Information and communication - total",6370,6427,6403,6975,7901,9517,10587,12204
"Kitoblar nashr qilish","Китоблар нашр қилиш","Издание книг","Book publishing",84,87,114,122,145,193,217,242
"Ma’lumotnoma va ro’yxatlar nashr qilish","Маълумотнома ва рўйхатлар нашр қилиш","Издание справочников и списков","Publishing reference books and lists",21,15,5,7,7,8,7,11
"Gаzetаlаr nаshr qilish","Газеталар нашр қилиш","Издание газет","Publishing newspapers",106,267,308,315,315,337,324,321
"Jurnаllаr vа dаvriy nаshrlаr nаshr qilish","Журналлар ва даврий нашрлар нашр қилиш","Издание журналов и периодических публикаций","Publication of journals and periodical publications",39,117,143,154,176,182,211,229
"Nаshirlik fаoliyatining boshqа turlаri","Наширлик фаолиятининг бошқа турлари","Прочие виды издательской деятельности","Other types of publishing activities",216,220,223,231,270,358,405,409
"Kompyuter o'yinlаrini chiqаrish","Компютер ўйинларини чиқариш","Выпуск компьютерных игр","Release of computer games",82,171,83,90,109,136,130,156
"Boshqа dаsturiy tа'minotlаrni chiqаrish","Бошқа дастурий таъминотларни чиқариш","Выпуск прочего программного обеспечения","Release of other software",122,109,201,206,248,315,352,425
"Kino-videofilmlar, televizion dasturlar, fonogrammalar va musiqali yozuvlarni ishlab chiqarish","Кино-видеофилмлар, телевизион дастурлар, фонограммалар ва мусиқали ёзувларни ишлаб чиқариш","Производство кино- видеофильмов и телевизионных программ","Production of films, videos and television programs",115,161,184,205,227,293,353,400
"Kino- videofilmlаr vа televizion dаsturlаr tayyorlashning ishlаb chiqаrish  bosqichi ","Кино-видеофилмлар ва телевизион дастурлар тайёрлашнинг ишлаб чиқариш босқичи ","Постпроизводственный этап изготовления кино-видео-фильмов и телевизионных программ","The post-production stage of the production of film-video films and television programs",12,23,39,44,42,53,59,63
"Kinofilmlаr, video vа televizion dаsturlаrni tаrqаtish","Кинофилмлар, видео ва телевизион дастурларни тарқатиш","Распространение кинофильмов, видео и телевизионных программ","Distribution of films, videos and television programs",46,43,44,50,46,49,47,49
"Kinofilmlar namoyish qilish","Кинофилмлар намойиш қилиш","Показ кинофильмов","Screening of films",95,82,87,87,95,99,84,95
"Fonogrаmmаlаr vа musiqаli yozuvlаrni nаshr qilish bo'yichа fаoliyat","Фонограммалар ва мусиқали ёзувларни нашр қилиш бўйича фаолият","Деятельность по изданию фонограмм и музыкальных записей","Activities for the publication of phonograms and music recordings",125,100,88,71,76,84,77,71
Rаdioeshittirish,Радиоэшиттириш,Радиовещание,"Radio broadcasting",227,389,109,93,87,88,66,68
